<img src="L10-001.svg"><br>Có, ở (tồn tại đồ vật)	あります<br>あります<br>arimasu<br>Có, ở (tồn tại đồ vật)<br>はこがあります。<br>Có cái hộp.	Lesson10
<img src="L10-002.svg"><br>Có, ở (tồn tại người và động vật)	います<br>います<br>imasu<br>Có, ở (tồn tại người và động vật)<br>いぬがいます。<br>Có con chó.	Lesson10
<img src="L10-003.svg"><br>Nhiều, đa dạng	色々<br>いろいろ[な]<br>iroiro na<br>Nhiều, đa dạng<br>いろいろなものがあります。<br>Có nhiều đồ vật.	Lesson10
<img src="L10-004.svg"><br>Người đàn ông	男の人<br>おとこのひと<br>otoko no hito<br>Người đàn ông<br>おとこのひとがいます。<br>Có người đàn ông.	Lesson10
<img src="L10-005.svg"><br>Người đàn bà, phụ nữ	女の人<br>おんなのひと<br>onna no hito<br>Người đàn bà, phụ nữ<br>おんなのひとがいます。<br>Có người phụ nữ.	Lesson10
<img src="L10-006.svg"><br>Cậu con trai, cậu bé	男の子<br>おとこのこ<br>otoko no ko<br>Cậu con trai, cậu bé<br>おとこのこがいます。<br>Có cậu bé.	Lesson10
<img src="L10-007.svg"><br>Cô con gái, cô bé	女の子<br>おんなのこ<br>onna no ko<br>Cô con gái, cô bé<br>おんなのこがいます。<br>Có cô bé.	Lesson10
<img src="L10-008.svg"><br>Chó	犬<br>いぬ<br>inu<br>Chó<br>いぬがいます。<br>Có con chó.	Lesson10
<img src="L10-009.svg"><br>Mèo	猫<br>ねこ<br>neko<br>Mèo<br>ねこがいます。<br>Có con mèo.	Lesson10
<img src="L10-010.svg"><br>Gấu trúc	パンダ<br>パンダ<br>panda<br>Gấu trúc<br>パンダがいます。<br>Có gấu trúc.	Lesson10
<img src="L10-011.svg"><br>Voi	象<br>ぞう<br>zou<br>Voi<br>ぞうがいます。<br>Có con voi.	Lesson10
<img src="L10-012.svg"><br>Cây, gỗ	木<br>き<br>ki<br>Cây, gỗ<br>きがあります。<br>Có cái cây.	Lesson10
<img src="L10-013.svg"><br>Vật, đồ vật	物<br>もの<br>mono<br>Vật, đồ vật<br>いろいろなものがあります。<br>Có nhiều đồ vật.	Lesson10
<img src="L10-014.svg"><br>Pin	電池<br>でんち<br>denchi<br>Pin<br>でんちがあります。<br>Có cục pin.	Lesson10
