id,lesson,hiragana,kanji,vietnamese,category,icon,example_jp,example_vi,audio_url,example_jp_reading,display
l10_001,10,あります,,"Có, ở (đồ vật)",grammar,📦,あります。,Có.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=あります&kana=あります,あります。,あります
l10_002,10,います,,"Có, ở (người/động vật)",grammar,👤,います。,Có.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=います&kana=います,います。,います
l10_003,10,いろいろ[な],色々,"Nhiều, đa dạng",adjective,🌈,いろいろなものがあります。,Có nhiều đồ vật.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=色々&kana=いろいろな,いろいろなものがあります。,色々（いろいろ[な]）
l10_004,10,おとこのひと,男の人,Người đàn ông,people,👨,男の人がいます。,Có người đàn ông.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=男の人&kana=おとこのひと,男の人（おとこのひと）がいます。,男の人（おとこのひと）
l10_005,10,おんなのひと,女の人,Người đàn bà,people,👩,女の人がいます。,Có người đàn bà.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=女の人&kana=おんなのひと,女の人（おんなのひと）がいます。,女の人（おんなのひと）
l10_006,10,おとこのこ,男の子,Cậu bé,people,👦,男の子がいます。,Có cậu bé.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=男の子&kana=おとこのこ,男の子（おとこのこ）がいます。,男の子（おとこのこ）
l10_007,10,おんなのこ,女の子,Cô bé,people,👧,女の子がいます。,Có cô bé.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=女の子&kana=おんなのこ,女の子（おんなのこ）がいます。,女の子（おんなのこ）
l10_008,10,いぬ,犬,Chó,animals,🐶,犬がいます。,Có con chó.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=犬&kana=いぬ,犬（いぬ）がいます。,犬（いぬ）
l10_009,10,ねこ,猫,Mèo,animals,🐱,猫がいます。,Có con mèo.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=猫&kana=ねこ,猫（ねこ）がいます。,猫（ねこ）
l10_010,10,パンダ,,Gấu trúc,animals,🐼,パンダがいます。,Có gấu trúc.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=パンダ&kana=パンダ,パンダがいます。,パンダ
l10_011,10,ぞう,象,Voi,animals,🐘,象がいます。,Có con voi.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=象&kana=ぞう,象（ぞう）がいます。,象（ぞう）
l10_012,10,き,木,"Cây, gỗ",objects,🌳,木があります。,Có cái cây.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=木&kana=き,木（き）があります。,木（き）
l10_013,10,もの,物,"Vật, đồ vật",objects,📦,物があります。,Có đồ vật.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=物&kana=もの,物（もの）があります。,物（もの）
l10_014,10,でんち,電池,Pin,objects,🔋,電池があります。,Có pin.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=電池&kana=でんち,電池（でんち）があります。,電池（でんち）
l10_015,10,はこ,箱,Hộp,objects,📦,箱があります。,Có cái hộp.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=箱&kana=はこ,箱（はこ）があります。,箱（はこ）
l10_016,10,スイッチ,,Công tắc,objects,🔘,スイッチがあります。,Có công tắc.,https://assets.languagepod101.com/dictionary/japanese/audiomp3.php?kanji=スイッチ&kana=スイッチ,スイッチがあります。,スイッチ
