id,lesson,jlpt,category,hiragana,kanji,romaji,vietnamese,english,example_jp,example_vi,emoji,image
L10-001,10,N5,basic,あります,,arimasu,"Có, ở (tồn tại đồ vật)",there is/are (objects),はこがあります。,Có cái hộp.,📦,../../assets/images/lesson10/L10-001.svg
L10-002,10,N5,basic,います,,imasu,"Có, ở (tồn tại người và động vật)",there is/are (people/animals),いぬがいます。,Có con chó.,👪,../../assets/images/lesson10/L10-002.svg
L10-003,10,N5,people,いろいろ[な],色々,iroiro na,"Nhiều, đa dạng",various,いろいろなものがあります。,Có nhiều đồ vật.,🌈,../../assets/images/lesson10/L10-003.svg
L10-004,10,N5,people,おとこのひと,男の人,otoko no hito,Người đàn ông,man,おとこのひとがいます。,Có người đàn ông.,👨,../../assets/images/lesson10/L10-004.svg
L10-005,10,N5,people,おんなのひと,女の人,onna no hito,"Người đàn bà, phụ nữ",woman,おんなのひとがいます。,Có người phụ nữ.,👩,../../assets/images/lesson10/L10-005.svg
L10-006,10,N5,people,おとこのこ,男の子,otoko no ko,"Cậu con trai, cậu bé",boy,おとこのこがいます。,Có cậu bé.,👦,../../assets/images/lesson10/L10-006.svg
L10-007,10,N5,people,おんなのこ,女の子,onna no ko,"Cô con gái, cô bé",girl,おんなのこがいます。,Có cô bé.,👧,../../assets/images/lesson10/L10-007.svg
L10-008,10,N5,animal,いぬ,犬,inu,Chó,dog,いぬがいます。,Có con chó.,🐶,../../assets/images/lesson10/L10-008.svg
L10-009,10,N5,animal,ねこ,猫,neko,Mèo,cat,ねこがいます。,Có con mèo.,🐱,../../assets/images/lesson10/L10-009.svg
L10-010,10,N5,animal,パンダ,,panda,Gấu trúc,panda,パンダがいます。,Có gấu trúc.,🐼,../../assets/images/lesson10/L10-010.svg
L10-011,10,N5,animal,ぞう,象,zou,Voi,elephant,ぞうがいます。,Có con voi.,🐘,../../assets/images/lesson10/L10-011.svg
L10-012,10,N5,object,き,木,ki,"Cây, gỗ",tree/wood,きがあります。,Có cái cây.,🌳,../../assets/images/lesson10/L10-012.svg
L10-013,10,N5,object,もの,物,mono,"Vật, đồ vật",thing,いろいろなものがあります。,Có nhiều đồ vật.,🧸,../../assets/images/lesson10/L10-013.svg
L10-014,10,N5,object,でんち,電池,denchi,Pin,battery,でんちがあります。,Có cục pin.,🔋,../../assets/images/lesson10/L10-014.svg
L10-015,10,N5,object,はこ,箱,hako,Hộp,box,はこがあります。,Có cái hộp.,📦,../../assets/images/lesson10/L10-015.svg
L10-016,10,N5,object,スイッチ,,suicchi,Công tắc,switch,スイッチがあります。,Có công tắc.,🔘,../../assets/images/lesson10/L10-016.svg
L10-017,10,N5,object,れいぞうこ,冷蔵庫,reizouko,Tủ lạnh,refrigerator,れいぞうこがあります。,Có tủ lạnh.,🧊,../../assets/images/lesson10/L10-017.svg
